APCOM,Asian-Pacific Conference on Computational Mechanics
APCOMin,Application of Computers and Operations Research in the Minerals Industries
APDSI,Asia Pacific Decision Science Institute Conference
APGV,Applied Perception in Graphics and Visualization
APLAS,ASIAN Symposium on Programming Languages and Systems
APNOMS,Asia-Pacific Network Operations and Management Symposium
APORS,Conference of the Association of Asian-Pacific Operational Research Societies
APPROX,International Workshop on Approximation Algorithms for Combinatorial Optimization Problems
APRSAIS,Asia Pacific Research Symposium on Accounting Information Systems
APRTS,Australasian Conference on Parallel and Real-Time Systems
APSCC,Asia-Pacific Services Computing Conference
APSEC,Asia-Pacific Software Engineering Conference
APSEC-EASEC,Structural Engineering and Construction Conference
APVIS,Asia-Pacific Symposium on Visualisation
APWEB,Asia Pacific Web Conference
AQSDT,Symposium on Assessment of Quality S/W Dev Tools
ARACNE,Workshop on Approximation and Randomization Algorithms in Communication Networks
ARCOM,Association of Researchers in Construction Management Annual Conference
ARCS,International Conference on Automation, Robotics and Control Systems
ARES,International Conference on Availability, Reliability and Security
ARITH,IEEE Symposium on Computer Arithmetic
AROB,International Symposium on Artificial Life and Robotics
ARSPC,Australasian Remote Sensing Conference and Photogrammetry Conference
ARTDB,Active and Real-Time Database Systems
ArtsIT,International Conference on Arts and Technology
ARVLSI,Advanced Research in VLSI
ASAI,Argentine Symposium on Artificial Intelligence
ASAP,International Conference on Apps for Specific Array Processors
ASCM,Asian Symposium on Computer Mathematics
ASDAC,Asia Pacific Design Automation Conference
ASE,Automated Software Engineering Conference
ASHRAE,American Society for Heating, Refrigeration and Air Conditioning
AsiaCCS,ACM Symposium on Information, Computer and Communications Security
ASIAN,Asian Computing Science Conference
ASIV,Australian Symposium on Information Visualisation
ASM(W),International Workshop on Abstract State Machines
ASPLOS,Architectural Support for Programming Languages and Operating Systems
ASR,ISCA Tutorial and Research Workshop Automatic Speech Recognition
ASRU,IEEE Automatic Speech Recognition and Understanding Workshop
AST,Automation of Software Test
ASWEC,Australian Software Engineering Conference
ATC,International Conference on Autonomic and Trusted Computing
ATMOS,Workshop on Algorithmic Approaches for Transportation Modelling, Optimization, and Systems
ATNAC,Australian Telecommunication Networks and Applications Conference
ATRF,Australasian Transport Research Forum
ATVA,International Symposium on Automated Technology for Verification and Analysis
AUBEA,Australian Universities Building Education Association Annual Conference
AUC,Workshop on Ad Hoc and Ubiquitous computing
AUCADC,Apple University Consortium Academic and Developers Conference
AuCSS,Australasian Cognitive Science Society Conference
AUIC,Australasian User Interface Conference
AURISA,Australasian Urban and Regional Information Systems Association Conference
AuRW,Australasian Refinement Workshop
AusDM,Australian Data Mining Conference
AusWeb,Australian World Wide Web Conference
AUUG,Australian UNIX Users Group National Conference
AVI,Advanced Visual Interfaces
AVSS,Advanced Video and Signal Based Surveillance
AWIC,International Atlantic Web Intelligence Conference
AWOCA,Australasian Workshop on Combinatorial Algorithms
AWRE,Australian Workshop on Requirements Engineering
AWSA,Australian Workshop on Software Architecture
BASYS,IEEE/IFIP International Conference on Information Technology for Balanced Automation Systems
BC,IFIP International Conference on Broadband Communications
BCS-FMW,British Computer Society Formal Aspects of Computing Science Specialist Group Workshop
BCTCS,British Colloquium for Theoretical Computer Science
BECC,Bled Electronic Commerce Conference
BEECON,Built Environment Education Conference
BFCA,International Workshop on Boolean Functions: Cryptography and Applications
BIBE,IEEE Bioinformatics and Bioengineering
BICC,IFIP Conference on Biologically Inspired Collaborative Computing
BIO ROB,2008 International Conference on Biomedical Robotics and Biomechatronics
BioViz,Bioinformatics Visualization
BIS,International Conference on Business Information Systems
BMVC,British Machine Vision Conference
BNCOD,British National Conference on Databases
BPD,International Workshop on Business Process Design
BPI,International Workshop on Business Process Intelligence
BPM,International Conference in Business Process Management
BPMDS,International Workshop on Business Process Modelling, Development, and Support
Broadnets,International Conference on Broadband Communications, Networks and Systems
BSN,Body Sensor Networks
BuiltViz,Visualisation in Built Environment
C#,International Workshop on C# and .NET Technologies
C5,International Conference on Creating Connecting and Collaborating through Computing
CAADFutures,CAADFutures Biennial conference
CAAI,Canadian Artificial Intelligence Conference
CAAN,Workshop on Combinatorial and Algorithmic Aspects of Networking
CACSD,IEEE/IFAC Computer Aided Control System Design
CADE,International Conference on Automated Deduction
CAIA,Conference on Artificial Intelligence for Applications
CAINE,ISCA International Conference on Computer Applications in Industry and Engineering
CAIP,International Conference on Computer Analysis of Images and Patterns
CaiSE,International Conference on Advanced Information Systems Engineering
CAITR,Conference of the Australian Institutes of Transport Research
CAivDE,Computer Animation, Information Visualisation, and Digital Effects
CAMEA,Centre for Asian and Middle Eastern Architecture conference
CanaDAM,Canadian Discrete and Algorithmic Mathematics Conference
CANIM,Computer Animation
CANS,International Conference on Cryptology and Network Security
CASES,International Conference on Compilers, Architecture, and Synthesis for Embedded Systems
CATA,International Conference on Computers and their Applications
CATAC,Cultural Attitudes towards Technology and Communications
CATS,Computing: The Australasian Theory Symposium
CAV,Computer Aided Verification
CAVR,Construction Applications of Virtual Reality, International Conference
CBSE,International Symposium Component-Based Software Engineering
CC,International Conference on Compiler Construction
CCA,International Conference on Computability and Complexity in Analysis
CCC,IEEE Symposium on Computational Complexity
CCCG,Canadian Conference on Computational Geometry
CCECE,Canadian Conference on Electrical and Computer Engineering
CCG,Workshop on Computational and Conformal Geometry
CCGRID,IEEE International Symposium on Cluster, Cloud and Grid Computing
CCS,ACM Conference on Computer and Communications Security
CCSC,Journal of Computing Science in Colleges (Conference proceedings)
CCW,IEEE Computer Communications Workshop
CD,IFIP/ACM Working Conference on Component Deployment
CDB,Constraint Databases and Applications
CDC,IEEE Conference on Decision and Control
CDVE,Cooperative Design, Visualization, and Engineering
CEAS,International Conference on Email and Anti-Spam
CEC,IEEE Conference on Electronic Commerce Technology (merger of CEC and EEE)
CEG,Computing in Education Group of Victoria Conference
CERE,International Workshop on Comparative Evaluation in Requirements Engineering
CERIAS,Information Security Symposium
CFET,International Conference on Cybercrime Forensics Education and Training
CFP,Conference on Computers, Freedom, and Privacy
CGA,Workshop on Computational Geometry and Applications
CGAL,CGAL User Workshop
CGC,CGC Workshop on Computational Geometry
CGI,Computer Graphics International
CGIE,Joint International Conference on CyberGames and Interactive Entertainment
CGIV,International Conference Computer Graphics, Imaging and Visualization
CGO,International Symposium on Code Generation and Optimization
CGTDG,Conference on Graph Theory and Discrete Geometry
CGW,Annual Fall Workshop on Computational Geometry
CHES,Workshop on Cryptographic Hardware and Embedded Systems
CHI,International Conference on Human Factors in Computing Systems
ChiliPLoP,Southwestern Conference on Pattern Languages of Programs
ChinaGrid,ChinaGrid Annual Conference
CHINZ,ACM SIGCHI_NZ Conference on Human-Computer Interaction
CHKV,Cultural Heritage Knowledge Visualisation
CIAA,International Conference on Implementation and Application of Automata
CIARP,IberoAmerican Congress on Pattern Recognition
CIC,International Conference on Communications in Computing
CICLING,International Conference on Intelligent Text Processing and Computational Linguistics
CIDR,Conference on Innovative Data Systems Research
CiE,Computability in Europe: Logic and Theory of Algorithms
CIG,IEEE Symposium on Computational Intelligence and Games
CIHSPS,IEEE International Conference on Intelligence for Homeland Security and Personal Safety
CII-HK,Conference on Construction Partnering
CIISP,IEEE Symposium on Computational Intelligence in Image and Signal Processing
CIKM,ACM International Conference on Information and Knowledge Management
CIMA,International Workshop on Combinations of Intelligent Methods and Applications
CIMCA,International Conference on Computational Intelligence for Modelling, Control and Automation
CIRAS,International Conference on Computational Intelligence, Robotics and Autonomous Systems
CIRSYS,International Symposium on Circuits and Systems
CIS,IEEE International Conference on Cybernetics and Intelligent Systems
CISE,International Conference on Computational Intelligence and Software Engineering
CISIM,International Conference on Computer Information Systems and Industrial Management Applications
CISIS,International Conference on Complex, Intelligent and Software Intensive Systems
CISS,Conference on Information Sciences and Systems
CISST,International Conference Imaging Science, Systems and Technology
CISTM,Conference on Information Science, Technology and Management
CIT,IEEE International Conference on Computer and Information Technology
CITB,Complexity and information-theoretic approaches to biology
CITC,Construction in the Twenty-first Century Conferences
CIVIL-COMP,International Conference on Civil, Structural and Environmental Engineering Computing
CLADE,Challenges of Large Applications in Distributed Environments
CLEI,Latin American Conference on Informatics
CLOUD,IEEE International Conference on Cloud Computing
CloudCom,International Conference on Cloud Computing
CLUSTER,IEEE International Conference on Cluster Computing
CMS,Joint Working Conference on Secure Information Networks: Communications and Multimedia Security
CMV,Coordinated and Multiple Views in Exploratory Visualization
CNNA,IEEE International Workshop on Cellular Nanoscale Networks and Applications
CO,International Symposium on Combinatorial Optimisation
COBEE,1st International Conference on Building Energy and Environment
COBRA,RICS conference
COCOA,Conference on Combinatorial Optimization and Applications
COCOON,International Conference on Computing and Combinatorics
CODAS,International Symposium on Cooperative Database Systems for Advanced Applications
CODATA,Committee on Data for Science and Technology
COGROBO,International Cognitive Robotics Conference
CogSci,Annual Conference of the Cognitive Science Society
COLING,International Conference on Computational Linguistics
CollECTeR,Collaborative Electronic Commerce Technology and Research
COLT,Annual Conference on Computational Learning Theory
COMAD,International Conference on Management of Data
ComAI,Franco-Canadian Workshop on Combinatorial Algorithms
Combina Texas,CombinaTexas: Combinatorics in the South-Central U.S.
COMMONSENSE,Symposium on Logical Formalizations of Commonsense Reasoning
COMPDES,International Symposium on Computer Design
COMPLAS,International Conference on Computational Plasticity
Complex,Asia-Pacific Conference on Complex Systems
Complexity,IEEE Conference on Computational Complexity
CompLife,International Symposium on Computational Life Science
COMPSAC,International Computer Software and Applications Conference
COMPUMOD,Australasian Compumod Users' Conference
COMSWARE,International Conference on Communication System Software and Middleware
CONCUR,International Conference on Concurrency Theory
CoNEXT,ACM International Conference on Emerging Networking Experiments and Technologies
Conf-IRM,International Conference on Information Resources Management
CoNLL,Conference on Natural Language Learning
ConnectED,ConnectED: International Conference on Design Education
CONPAR,Conference on Algorithms and Hardware for Parallel Processing
CONTEXT,International and Interdisciplinary Conference on Modelling and Using Context
CONVR,Construction Applications to Virtual Reality Conference
CoopIS,International Conference on Cooperative Information Systems
Coordination,International Conference on Coordination Models and Languages
COPLAS,Workshop on Constraint Satisfaction for Planning and Scheduling
COR,Conference on Operations Research
CORIA,Conférence en Recherche d'information et Applications
Cosign,International Conference on Computational Semiotics for Games and New Media
COSIT,Conference on Spatial Information Theory
COV,Complex Objects Visualization Workshop
CP,International Conference on Principles and Practice of Constraint Programming
CPD,Constraint Programming Day
CPM,Combinatorial Pattern Matching
CRCCI,Cooperative Research Centre for Construction Innovation International Conference
CRIOCM,Construction Management and Real Estate International Symposium
CRiSIS,International Conference on Risks and Security of Internet and Systems
CRITIS,International Workshop on Critical Information Infrastructures Security
CRV,Canadian Conference on Computer and Robot Vision
CryPAC,Cryptography Policy and Algorithms Conference
CRYPTO,Advances in Cryptology
Crypto'Puces,Crypto'Puces
CSB,IEEE Computational Systems Bioinformatics Conference
CSC,ACM Annual Computer Science Conference
CSCL,Computer Supported Collaborative Learning
CSCW,ACM Conference on Computer Supported Cooperative Work
CSCWD,International Conference on Computer Supported Cooperative Work in Design
CSEE&T,Conference on Software Engineering Education and Training
CSICC,International CSI Computer Conference
CSL,Annual Conference of the European Association for Computer Science Logic
CSMR,European Conference on Software Maintenance and Reengineering
CSR,International Computer Science Symposium in Russia
CSRC,Computer Science Research Conference
CSSAC,Cognitive Science Society Annual Conference
CT,Computational Topology Workshop
CTAC,Computational Techniques and Applications Conference
CTS,International Symposium on Collaborative Technologies and Systems
CTW,Cologne-Twente Workshop on Graphs and Combinatorial Optimization
CUPUM,International Conference on Computers in Urban Planning and Urban Management
CVPR,IEEE Conference on Computer Vision and Pattern Recognition
CxS,International Conference on Complex Systems
D&E,Design and Emotion Society Conferences
DAARC,Discourse Anaphora and Anaphor Resolution Colloquium
DAC,Digital Arts and Culture
DAG,Discrete and Algorithmic Geometry
DAGM,Deutsche Arbeitsgemeinschaft für Mustererkennung DAGM e.V
DAIS,IFIP International Conference on Distributed Applications and Inoperable Systems
DALT,Declarative Agent Languages and Technologies
DASC,International Conference on Dependable, Autonomic and Secure Computing
DASD,Symposium on Design, Analysis, and Simulation of Distributed Systems
DASFAA,Database Systems for Advanced Applications
DASWIS,Data Semantics in Web Information Systems
DATE,Design, Automation and Test in Europe Conference
DAViz,Design and Aesthetics in Visualisation
DaWaK,Data Warehousing and Knowledge Discovery
DB&IS,International Baltic Conference on Databases and Information Systems
DBMC,Durability of Building Materials and Components Conference
DBPL,Databases and Programming Language
DC,International Conference on Dublin Core and Metadata Applications
DCC,Data Compression Conference
DCM,International Workshop on Developments in Computational Models
DCOSS,IEEE International Conference on Distributed Computing in Sensor Systems
Dcw,Distributed Communities on the Web Workshop
DDDM,International Workshop on Domain Driven Data Mining
DECI,IEEE Information Theory Workshop on Detection, Estimation, Classification and Imaging
DEPCoS,International Conference on Dependability of Computer Systems
DEXA,International Conference on Database and Expert Systems Applications
DFMA,International Conference on Distributed Frameworks for Multimedia Applications
DGCI,International Conference on Discrete Geometry for Computer Imagery
DGO,International Conference on Digital Government Research
DGW,Dynamic Graph Workshop
DIAGRAMS,The Theory and Application of Diagrams
DICTA,Digital Image Computing Techniques and Applications
DIGRA,Digital Games Research Conference
DIMA,Conference on Discrete Mathematics, Algebra and their Application
DIMACS Intrinsic,DIMACS Workshop on Intrinsic Complexity of Computation
DIMEA,ACM International Conference on Digital Interactive Media in Entertainment and Arts
DIS,Designing Interactive Systems
DITW,Internationale Tagung Wirtschaftsinformatik
DIVC,Joint Australia and New Zealand Biennial Conference on Digital Image and Vision Computing
DLS,Dynamic Languages Symposium
DLT,Developments in Language Theory
DM,SIAM Conference on Discrete Mathematics
DM-CCG,Discrete Models: Combinatorics, Computation and Geometry
DMDW,Design and Management of Data Warehouses
DMKD,Workshop on Research Issues in Data Mining and Knowledge Discovery
DMTCS,International Conference on Discrete Mathematics and Theoretical Computer Science
DMVC,VisMasters Design Modelling and Visualization Conference
DNA,International Meeting on DNA Computing and Molecular Programming
DOLAP,International Workshop on Data Warehousing and OLAP
DP-COOL,Workshop on Declarative Programming in the Context of OO Languages
DPPI,Designing Pleasurable Products And Interfaces
DRM,ACM Digital Rights Management Workshop
DRS,Design Research Society (UK) International Conference
DSAA,International Conference on Database Systems for Advanced Applications
DSAL,Domain Specific Aspect Languages
DSI,Annual Meeting of the Decision Sciences Institute
DSKDB,International Colloquium on Data Sciences, Knowledge Discovery and Business Intelligence
DSLSE,Domain - Specific Languages for Software Engineering
DSM,Workshop on Domain Specific Modelling
DSN,Workshop on Assurance Cases for Security
DSOM,IFIP/IEEE International Workshop on Distributed Systems Operations and Management
DTM,International Conference on Design Theory and Methodology (ASME)
DTVE ,Workshop on Database Technology for Virtual Enterprises
DutchCG,Dutch Computational Geometry Day
DUX,Design for User Experience
e-Science,IEEE International Conference on e-Science and Grid Computing
EACL,European Association of Computational Linguistics
EAD,European Academy of Design conferences
EAMT,Conference of the European Association for Machine Translation
EANN,International Conference on Engineering Applications of Neural Networks
Early Aspects,Workshop on Aspect Oriented Requirements Engineering and Architecture Design
EASE,International Conference on Evaluation and Assessment in Software Engineering
EASTS,East Asia Society for Transportation Studies Conference (biennial)
EC,ACM Conference on Electronic Commerce
eCAADe,Education and Research in Computer Aided Architectural Design in Europe
ECAI,European Conference on Artificial Intelligence
ECAL,European Conference on Artificial Life
ECBS,IEEE International Conference and Workshop on the Engineering of Computer Based Systems
ECC,Workshop on Elliptic Curve Cryptography
ECCB,European Conference on Computational Biology
ECCM,European Conference on Computational Mechanics
ECCO,European Chapter on Combinatorial Optimization
ECCV,European Conference on Computer Vision
ECDM,International Workshop on Evolution and Change in Data Management
ECEG,European Conference on e-Government
ECIME,European Conference on Information Management and Evaluation
ECIR,European Conference on Information Retrieval
ECIS,European Conference on Information Systems
ECIW,European Conference of Information Warfare
ECML,European Conference on Machine Learning
ECOOP,European Conference on Object-Oriented Programming
ECOWS,IEEE European Conference on Web Services
ECRM,European Conference on Research Methodology for Business and Management Studies
ECRTS,Euromicro Conference on Real-Time Systems
ECSCW,European Conference on Computer Supported Cooperative Work
ECUMN,European Conference on Universal Multiservice Networks
ECWeb,International Conference on Electronic Commerce and Web Technology
EDBT,Extending Database Technology
EDM,Symposium on Discrete Mathematics
EDOC,IEEE International Enterprise Distributed Object Computing Conference
EDRA,Environmental Design Research Association
EDSER,International Workshop on Economics-Driven Software Engineering Research
EEE,IEEE International Conference on Enterprise Computing, E-Commerce and E-Services
EGC,Spanish Meeting on Computational Geometry
EGEE,Enabling Grids for E-Science European Conference
EGPGV,Eurographics Symposium on Parallel Graphics and Visualization
EGVE,Eurographics Symposium on Virtual Environments
EICAR,European Institute for Computer Anti-Virus Research EICAR Conference
EISWT,International Conference on Enterprise Information Systems and Web Technologies
EJC,European-Japanese Conference on Information Modelling and Knowledge Bases
EKAW,International Conference on Knowledge Engineering and Knowledge Management
EKM,European Conference on Knowledge Management
ELW,European Lisp Workshop
EMCIS,European, Mediterranean and Middle Eastern Conference on Information Systems
EMMSAD,Exploring Modelling Methods in Systems Analysis and Design
Emnets,Embedded Sensor Networks Workshop
EMNLP,Empirical Methods in Natural Language Processing
EMSOFT,ACM Conference on Embedded Software
ENASE,International Conference on Evaluation of Novel Approaches to Software Engineering
ENTER,International Conference on Information and Communication Technologies in Tourism
EOMAS,International Workshop on Enterprise and Organizational Modelling and Simulation
EP,Annual Conference on Evolutionary Programming
EPIA,Portuguese Conference on Artificial Intelligence
EQIS,ERATO Conference on Quantum Information Science
ER,International Conference on Conceptual Modelling
ERCIM/CSCLP,ERCIM Annual Workshop on Constraint Solving and Constraint Logic Programming
ESA,European Symposium on Algorithms
ESANN,European Symposium on Artificial Neural Networks
ESAS,European Workshop on Security and Privacy in Ad -Hoc and Sensor Networks
ESCAPE,Symposium On Combinatorics, Algorithms, Probabilistic and Experimental Methodologies
ESEC,European Software Engineering Conference
ESEM,International Symposium on Empirical Software Engineering and Measurement
ESGICT,European Symposium on Gender and ICT
ESM,European Simulation MultiConference
ESOP,European Symposium on Programming
ESORICS,European Symposium On Research In Computer Security
ESQARU,International Joint Conference on Qualitative and Quantitative Practical Reasoning
ESS,European Simulation Symposium
ETC,European Transport Conference
ETHICOMP,ETHICOMP Conference
EuAda,Ada-Europe International Conference on Reliable Software Technologies
EUC,IEEE/IFIP International Conference on Embedded and Ubiquitous Computing
EUFIT,European Congress on Intelligent Techniques and Soft Computing
EUMAS,European Workshop on Multi-Agent Systems
EURO,European Conference on Operations Research
Euro VR,Euro Virtual Reality
Euro-Par,International Conference on Parallel Processing
EuroBot,European Workshop on Advanced Mobile Robots
EuroCG,European Workshop on Computational Geometry
EuroCOLT,European Conference on Computational Learning Theory (Now in COLT)
EUroComb,EuroConference on Combinatorics, Graph Theory and Applications
EuroCrypt,International Conference on the Theory and Application of Cryptographic Techniques
EUROGP,European Conference on Genetic Programming
EUROGRAPH,European Graphics Conference
EuroNLG,European Natural Language Generation Workshop
EUROPKI,European PKI Workshop: Theory and Practice
EuroPLop,European Conference on Pattern Languages of Programs
EuroPVM/MPI,European PVM/MPI Users' Group Conference
EuroSpeech,European Conference on Speech Communication and Technology (now Interspeech)
EuroSPI,European SPI
EuroSys,Eurosys Conference
EuroVis,Eurographics/IEEE Symposium on Visualization
EUSIPCO,European Signal Processing Conference
EVOTE,International Conference on Electronic Voting
EVT,USENIX/ACCURATE Electronic Voting Technology Workshop
EWSN,European Conference on Wireless Sensor Networks
Extreme,Extreme Markup Languages
F-and-B,Finite Differences-Finite Elements-Finite Volumes-Boundary Elements
FASE,Fundamental Approaches to Software Engineering
FAST,Conference on File and Storage Technologies
FATES,A Satellite workshop on Formal Approaches to Testing of Software
FAW,International Frontiers of Algorithmics Workshop
FC,Financial Cryptography and Data Security Conference
FCC,Formal and Computational Cryptography
FCKAML,French Conference on Knowledge Acquisition and Machine Learning
FCST,Japan-China Joint Workshop on Frontier of Computer Science and Technology
FCT,International Symposium on Fundamentals of Computer Theory
FDG,International Conference on the Foundations of Digital Games
FDL,Forum on Specification, Verification and Design Languages
FDPE,Functional and Declarative Programming in Education
FDTC,Workshop on Fault Diagnosis and Tolerance in Cryptography
FEM,International Conference on Formal Engineering Methods
FEWFDB,Far East Workshop on Future DB Systems
FG,IEEE International Conference on Automatic Face and Gesture Recognition
FINCRY,Financial Cryptography
FIRA,FIRA Robot World Congress
FIT,International Conference on Frontiers of Information Technology
FlAIRS,Florida Artificial Intelligence Research Society Conference
FLINS,International Fuzzy Logic and Intelligent technologies in Nuclear Science Conference
FLOPS,International Symposium on Functional and Logic Programming
FME,Formal Methods Europe
FMICS,Int. Workshop on Formal Methods for Industrial Critical Systems
FMIS,International Workshop on Formal Methods for interactive Systems
FMLDO,International Workshop on Foundations of Models and Languages for Data and Objects
FMOOD,International Conference on Formal Methods for Open Object-Based Distributed Systems
FMP,Formal Methods Pacific
FMPPTA,International Workshop on Formal Methods for Parallel Programming: Theory and Applications
FMSE,ACM Workshop on Formal Methods in Security Engineering: From Specifications to Code
FMSEDS,Formal Methods in Software Engineering and Defence Systems Workshop
FOAL,Foundations of Aspect-Oriented Languages
FOCS,IEEE Symposium on Foundations of Computer Science
FODO,International Conference on Foundation on Data Organization
FOGA,Foundations of Genetic Algorithms
FOIS,International Conference on Formal Ontology in Information Systems
FOOL,International Workshop on Foundations of Object-Oriented Languages
FOSSACS,Foundations of Software Science and Computational Structures
FPSAC,Formal Power Series and Algebraic Combinatorics
FQAS,Flexible Query-Answering Systems
FSE,ACM SIGSOFT International Symposium on the Foundations of Software Engineering
FSKD,International Conference on Fuzzy Systems and Knowledge
FSR,International Conference on Field and Service Robotics
FSSSSN,International Workshop on Foundations for Secure/Survivable Systems and Networks
FST&TCS,Foundations of Software Technology and Theoretical Computer Science
FTCS,International Symposium on Fault-Tolerant Computing
FTDCS,IEEE International Workshop on Future Trends of Distributed Computing Systems
FTJP,Workshop on Formal Techniques for Java Programs
FTP,International Workshops on First-Order Theorem Proving
FUN,Conference on Fun with Algorithms
FUSE,New Zealand Game Developers Conference
FUSION,International Conference on Information Fusion
FUZZ-IEEE,IEEE International Conference on Fuzzy Systems
GADA,International Conference on Grid computing, high-performance and Distributed Applications
GameTheory,MSRI Combinatorial Game Theory Research Workshop
GCA,International Conference on Grid Computing and Applications
GCC,International Conference on Grid and Cooperative Computing
GCCCE,Global Chinese Conference on Computers in Education
GD,Graph Drawing
GDC,Game Developers Conference
GDN,International Conference of Society for Group Decision and Negotiation
GECCO,Genetic and Evolutionary Computations
